date_full,category,type,amount
2024-09-03,Income / Transfers In,Income,10000.0
2024-09-05,Transfers Out,Expense,-5.0
2024-09-11,Income / Transfers In,Income,7.5
2024-09-11,Transfers Out,Expense,-1081.25
2024-09-16,Transfers Out,Expense,-44.45
2024-09-17,Other,Expense,-10.25
2024-09-18,Groceries,Expense,-11.5
2024-09-18,Transport,Expense,-2.75
2024-09-18,Transport,Expense,-2.75
2024-09-19,Transfers Out,Expense,-39.36
2024-09-20,Groceries,Expense,-166.32
2024-09-23,Income / Transfers In,Income,24.02
2024-09-23,Transport,Expense,-2.75
2024-09-23,Transport,Expense,-2.75
2024-09-23,Food & Dining,Expense,-23.48
2024-09-23,Transfers Out,Expense,-34.38
2024-09-23,Groceries,Expense,-29.82
2024-09-24,Income / Transfers In,Income,41.22
2024-09-24,Income / Transfers In,Expense,-125.0
2024-09-25,Transport,Expense,-2.75
2024-09-25,Transport,Expense,-2.75
2024-09-27,Subscription,Expense,-0.99
2024-09-30,Groceries,Expense,-26.03
2024-09-30,Transport,Expense,-2.75
2024-09-30,Transport,Expense,-2.75
2024-09-30,Transport,Expense,-2.75
2024-09-30,Food & Dining,Expense,-22.43
2024-09-30,Groceries,Expense,-13.4
2024-09-30,Transfers Out,Expense,-550.0
2024-10-01,Groceries,Expense,-10.33
2024-10-01,Groceries,Expense,-6.46
2024-10-01,Income / Transfers In,Income,7.48
2024-10-02,Transport,Expense,-2.75
2024-10-02,Transport,Expense,-2.75
2024-10-04,Transfers Out,Expense,-137.0
2024-10-07,Income / Transfers In,Income,11.9
2024-10-07,Transport,Expense,-2.75
2024-10-08,Groceries,Expense,-49.58
2024-10-09,Transport,Expense,-2.9
2024-10-09,Transport,Expense,-2.75
2024-10-09,Transport,Expense,-2.9
2024-10-09,Transport,Expense,-2.75
2024-10-10,Income / Transfers In,Income,275.63
2024-10-10,Income / Transfers In,Income,64.26
2024-10-10,Income / Transfers In,Income,57.02
2024-10-10,Bills & Utilities,Expense,-148.99
2024-10-15,Income / Transfers In,Income,64.77
2024-10-15,Income / Transfers In,Income,15.34
2024-10-15,Income / Transfers In,Income,64.79
2024-10-15,Income / Transfers In,Income,64.78
2024-10-16,Bills & Utilities,Expense,-110.14
2024-10-17,Transfers Out,Expense,-30.0
2024-10-17,Transfers Out,Expense,-10.0
2024-10-21,Food & Dining,Expense,-10.89
2024-10-21,Food & Dining,Expense,-10.89
2024-10-21,Shopping,Expense,-51.06
2024-10-24,Transfers Out,Expense,-149.93
2024-10-24,Transport,Expense,-2.75
2024-10-24,Transport,Expense,-2.9
2024-10-24,Transport,Expense,-24.0
2024-10-24,Income / Transfers In,Income,206.13
2024-10-24,Transport,Expense,-2.75
2024-10-28,Food & Dining,Expense,-19.51
2024-10-28,Groceries,Expense,-4.13
2024-10-28,Subscription,Expense,-0.99
2024-10-30,Transport,Expense,-2.9
2024-10-31,Transfers Out,Expense,-440.0
2024-11-01,Transport,Expense,-2.75
2024-11-01,Groceries,Expense,-12.87
2024-11-04,Transport,Expense,-2.75
2024-11-04,Groceries,Expense,-22.99
2024-11-04,Food & Dining,Expense,-17.91
2024-11-06,Transport,Expense,-2.75
2024-11-06,Transport,Expense,-2.75
2024-11-06,Groceries,Expense,-7.0
2024-11-12,Income / Transfers In,Income,18.45
2024-11-12,Income / Transfers In,Income,18.45
2024-11-12,Income / Transfers In,Income,18.45
2024-11-13,Bills & Utilities,Expense,-42.29
2024-11-13,Transport,Expense,-2.75
